Time_3	F_3:1	D_3:1	F_3:3	D_3:3	F_3:5	D_3:5	F_3:7	D_3:7	F_3:9	D_3:9	F_3:11	D_3:11	F_3:13	D_3:13
4172.17416772898	-2.7229890525341	-3.34576699273856	-11.4697161235804	4.94911023154419	-9.78355297772659	4.23474792991922	-8.28883690560867	3.73689387854204	-7.01849588996588	3.31252101158702	-6.25818792860747	2.98542731256358	-5.43333374917798	2.77394260201779
4177.47706719954	-2.61994580551982	-3.37118708823396	-11.5941090539986	5.00370160152625	-9.87618536008986	4.27595009316186	-8.25563588060783	3.69704528119055	-7.03763420793489	3.29367760300563	-6.28548594423439	2.95299487432474	-5.41329748048562	2.81013083623067
4182.77684231568	-2.66084021981806	-3.37624129258068	-11.4953827367121	4.99328946943894	-9.89382451801057	4.23416673945467	-8.28810890724942	3.73388671175355	-7.04269941561511	3.28136098432273	-6.35807676878978	2.996763419228	-5.51772040165675	2.84222119786607
4188.06999279466	-2.66101859230548	-3.37956419010612	-11.4845794097478	5.01012983464372	-9.91382619394417	4.22660514574826	-8.25801987800566	3.70389624097978	-7.03053455961849	3.2940049916837	-6.30418385492277	2.96800679699842	-5.42034984359676	2.83089639844337
4193.36383352336	-2.75256890710443	-3.40329032133746	-11.5909230894986	4.95753526534191	-9.8535526762761	4.19943896076557	-8.27851559289144	3.70484523531619	-7.03568452758696	3.32197369653397	-6.26023691887332	2.97626846601457	-5.53796638069567	2.77716758743395
4198.66779351421	-2.66548832692206	-3.37303184581281	-11.6107554671312	5.00187140828118	-9.89337670756949	4.2482933201455	-8.2662311085988	3.68319135760704	-7.04644252439089	3.29843439442251	-6.30564982912921	2.98863567354894	-5.56949856799698	2.81684872378449
4203.9714467274	-2.69749750383198	-3.37984499813649	-11.3993176867211	4.96091591744531	-9.84392949073108	4.27838946432399	-8.30544740667626	3.73672222524297	-7.04498264686668	3.31065130437021	-6.31263056934023	2.96412956491453	-5.5001735220994	2.86054857307126
4209.27022355888	-2.67006108909845	-3.36989947085112	-11.5378460169727	4.9615011371356	-9.87588929413314	4.27525213197747	-8.29671374243623	3.7347550142733	-7.00843093209556	3.3159482714051	-6.24149305164958	2.97593740428622	-5.44022460777338	2.80462241633693
4214.57199524436	-2.62217298150063	-3.39573856324068	-11.5596109944972	4.96358860162764	-9.8346069748558	4.22395552837602	-8.30392826203076	3.6984336264757	-7.04463369644105	3.3092124981353	-6.27065746616365	2.98477126247046	-5.58368371234788	2.77060489223738
4219.86795575637	-2.56288352794945	-3.39005013792342	-11.5959362306589	4.97496116141366	-9.78947158335213	4.26006880483484	-8.36912696130918	3.68015858032403	-7.03236180705931	3.30730840121118	-6.3426384065113	2.98149991207213	-5.50524178929341	2.79483380141481
4225.1722992193	-2.66955715045333	-3.38730811165442	-11.3237583407158	4.94709902177732	-9.77300997851844	4.24823524284752	-8.41153776074459	3.72178695174149	-7.03463974757101	3.31033404016221	-6.3343836055031	2.97837200592972	-5.50015528823629	2.83014786509981
4230.48307432607	-2.70632675569504	-3.39581107202815	-11.5772955491784	4.96736596402406	-9.91815006835841	4.2198537311539	-8.32149842129554	3.72802471231973	-7.04353494110779	3.30748655545978	-6.29022593045904	2.99741369977184	-5.51436156014139	2.80405806253177
4235.7879753951	-2.65894341934472	-3.37748188586016	-11.5094273990285	4.97443597585437	-9.80136592193039	4.21625800204867	-8.36861565563647	3.72228606971985	-7.04510123775804	3.32797752633271	-6.31583672756626	2.97486264472559	-5.4245174737193	2.83903763674289
4241.08987783827	-2.78438815381378	-3.39731323465503	-11.6330007419879	5.00378148627042	-9.85737194819821	4.24170257479627	-8.2722100026195	3.72963452395552	-7.0340910926107	3.30734452879043	-6.34507685081673	2.99860184456052	-5.46269190233803	2.76907277426695
4246.37530104071	-2.68878253549337	-3.38604839516574	-11.5153339715939	4.94985160737253	-9.831245640204	4.27910155652412	-8.29138280092963	3.71000259355707	-7.02687097502854	3.3187943699409	-6.25150709864903	3.00301031877603	-5.47448354939157	2.79795304472946
4251.67780132312	-2.5928926775232	-3.39301820211972	-11.4392829133462	4.9818486150308	-9.8713351327041	4.27952747915267	-8.33451990212013	3.73096036391611	-7.05250976396706	3.31257791464605	-6.29810943923377	2.98486081208025	-5.52849593623656	2.79882855478346
4257.00057973433	-2.67102600634098	-3.38955035606477	-11.4139651314313	4.9840552544722	-9.74396503447078	4.24015257596397	-8.32750274840561	3.7261526473363	-7.0705866167587	3.33142823126941	-6.27567792949487	2.98334978824064	-5.57733844028368	2.78641635135276
4262.29809676576	-2.71484552696347	-3.40155063037201	-11.4717745240423	4.96675619944532	-9.83946414841775	4.26518555797357	-8.2873697074752	3.73170906652387	-7.0451546501427	3.32359825486281	-6.29776148221874	2.9992424230695	-5.30473790813263	2.83023856937656
4267.60938295908	-2.59758045338094	-3.38605054410049	-11.595057541469	4.98305154731688	-9.80904345168246	4.22739192684715	-8.34936551391372	3.72173141532739	-7.05253573669102	3.32417204022895	-6.26568945695209	2.97890735192766	-5.5728235936194	2.80025549521253
4272.90230964124	-2.49177063722163	-3.38523074442355	-11.5863263817769	4.95493387851758	-9.90018255888017	4.23512287143398	-8.27406545795845	3.71670488491187	-7.04948933336214	3.32423018842177	-6.29282869596529	2.98927038173047	-5.52863942696828	2.75324814860999
4278.19742965791	-2.58238755818456	-3.3938762150052	-11.6201503940815	5.00318347726486	-9.76872432409291	4.24680422017655	-8.35024281552121	3.74155124230911	-7.06278399208946	3.30669725104925	-6.35480650441361	2.97190343936748	-5.40871394176062	2.79240471187915
4283.50657909457	-2.59855280723423	-3.38080214936849	-11.4659596259039	4.98769100290616	-9.87824139995964	4.25500413532156	-8.35743458529993	3.72233791170988	-7.02549012829609	3.33713861181959	-6.31987021180868	2.97850449246186	-5.34308315907852	2.78292974582515
4288.80148285814	-2.55470524914563	-3.36381391074689	-11.593022263884	5.0098498042824	-9.88109159274463	4.22083141546067	-8.3487662956473	3.72951108157374	-7.09128004640075	3.31115221686664	-6.24473392280817	2.97592503029237	-5.49915260228132	2.84120354778702
4294.09638473578	-2.64658163394779	-3.40091125034888	-11.5939911094451	4.95680180682615	-9.81056054635419	4.19488262114236	-8.32669739279715	3.73849134575416	-7.03105425748304	3.31593187625077	-6.25037281142187	2.99793974014221	-5.53502833307081	2.85538984152315
4299.38068581093	-2.59307129494846	-3.42700446150195	-11.6214556190762	4.96011119016675	-9.88870648919137	4.26140879250303	-8.2848640080361	3.70727449706851	-7.05864417963317	3.31720709299045	-6.22722436143733	2.96114933723065	-5.44442325638189	2.8308212670983
4304.68106065225	-2.51398063078523	-3.37754104756811	-11.5739257925147	4.98406927112081	-9.84442863567246	4.2713353150664	-8.33038832740392	3.69565909843133	-7.03944917433551	3.30782017203821	-6.29768654360152	2.98610874667812	-5.47440244924879	2.85073980922639
4309.98602647148	-2.63810138218105	-3.39630362627383	-11.5670846824491	5.00396849394355	-9.93863118095751	4.23984938420698	-8.299176634032	3.68278905440152	-7.06075839777537	3.3104802953045	-6.33681946310282	3.01819994643159	-5.5509745476597	2.80763398723302
4315.29024169128	-2.57104876078665	-3.41790166528443	-11.721663398012	4.97990630982821	-9.79635378821276	4.25154623697704	-8.40082003137156	3.72545779245076	-7.04298573480451	3.32530382074689	-6.32506045084239	2.99473906486233	-5.52422364952778	2.83253265823649
4320.58201104216	-2.5466506332159	-3.38958850711253	-11.5831204422707	4.98874749162346	-9.9988604026893	4.24192942916525	-8.45429245449947	3.7247813728254	-7.01261657141736	3.32672558395313	-6.30785407391597	2.97877573104087	-5.5755925829853	2.82536617639254
4325.86943835765	-2.59958801884204	-3.43380273994142	-11.4523402073378	4.97178124622699	-9.91048646374102	4.21703329366857	-8.39469643004583	3.72038712107938	-7.03994684166133	3.32713101419687	-6.32384563028956	2.98047978468615	-5.57806779767767	2.84794056184322
4331.17043304071	-2.57410552725196	-3.3873700264229	-11.5496960362684	4.9421605345012	-9.90573945297356	4.27784540041011	-8.31078236617493	3.72233876757105	-7.05939677685233	3.31597245303922	-6.28565083574296	2.96669960458854	-5.62526312335509	2.82604665702731
4336.47646378074	-2.48243906069547	-3.39881825990801	-11.5008786258245	4.97651621930934	-9.86160441516395	4.25508879609796	-8.39871708796824	3.71979830242555	-7.0703922228327	3.32880689994415	-6.34206900740339	3.01973513063679	-5.53083980980133	2.76982671912183
4341.77824049536	-2.63709801994264	-3.41262382806132	-11.5030656543518	5.00421207032622	-9.94514192296619	4.25466174411394	-8.31828714229511	3.70784071343476	-7.10158727976755	3.33060773504675	-6.29577672747184	2.97694651544655	-5.47371018141799	2.82550872771415
4347.08838821668	-2.54443425498903	-3.37189989746406	-11.6267679643775	4.95047827315387	-9.79362135706915	4.24013695487414	-8.34724465718552	3.73508220053767	-7.06117878022865	3.30168531501772	-6.33920323166132	3.00926083028798	-5.58181535718855	2.82380051813194
4352.37281313445	-2.53051109425724	-3.42719288380715	-11.5772077440861	4.99784569388288	-9.86192287607573	4.22256867694093	-8.33128492601561	3.68104029860515	-7.08477347588956	3.31402717231541	-6.38051729237652	3.00037038910426	-5.56009247133667	2.8906626194207
4357.67344006151	-2.51174922473729	-3.37801746651445	-11.6234967646146	4.98982389564512	-9.82184987022074	4.26857478086824	-8.37810966227023	3.72575630804249	-7.04704900579059	3.32736638545777	-6.29007073351051	2.98748284217205	-5.61560681613897	2.81184486248752
4362.9832269419	-2.52783958613873	-3.40390365513354	-11.5772716166716	4.93638066540411	-9.89334814651365	4.27249912611523	-8.37297004635145	3.73403054381158	-7.06256149126198	3.31087300035903	-6.27435738655806	2.97760390507213	-5.57635783555721	2.83821870429324
4368.29074190743	-2.57560706790537	-3.39402269244266	-11.4337088614348	4.99252530550794	-9.90561403884058	4.27355767799076	-8.33723013276865	3.74443081207027	-7.07283949268963	3.329294329587	-6.30751328639173	2.97079339137144	-5.48741232984636	2.86300458904172
4373.5848969575	-2.54307832475752	-3.42180236524672	-11.4988607000205	5.04042523129175	-9.90117397485746	4.25679263885498	-8.32986512634722	3.72602695908936	-7.04113173812362	3.32883943580931	-6.32235394142055	2.97241495623214	-5.53023893537735	2.81785006857847
4378.86832044739	-2.60040040686727	-3.41472628045983	-11.6795413891118	4.96447463156293	-9.86975631816758	4.23169748558953	-8.32622970495192	3.7219709168245	-7.10280130965617	3.31668076026257	-6.37992740484953	3.00196487828212	-5.57773576255337	2.87683756352213
